,categories,title,company_names,percentages,funding_amounts,days_left,n_supporters,likes,descriptions,durations,target_amounts
132,여행·레저,"아웃도어용 파이어팩 (Kindling Pack), 번개탄 대용, 자연소재",(주) 힌지코리아,27%,"3,305,000원",26일 남음,102,25,"파이어팩 (Kindling Pack) 출시 합니다!! 자연소재 황마 테이프 4개 넣은 불붙이는 팩, 캠핑 등산 바비큐 등에서 사용, 번개탄 대용품 ( 불쏘시개 ) 편의성, 간편휴대",2021.04.25-2021.05.24,"12,000,000원"
133,패션·잡화,하비 디자이너와 의류제조업 40년차 경력자들이 만든 하체비만 슬랙스,백승디자인그룹,3253%,"16,268,500원",오늘 자정 마감,305,465,"상체는 55, 하체는 66반!
허리에 맞추면 허벅지가 끼고! 허벅지에 맞추면 허리가 큰!
하체비만의 고충을 누구보다 잘 아는 디자이너가 40년차 전문가들과 함께 제작하였습니다.",2021.04.07-2021.04.28,"500,000원"
134,테크·가전,LED가 땋! 존재감 터지는 디붐 픽수 슬링백,주식회사 아이스카이네트웍스,1873%,"28,101,500원",5일 남음,306,406,"#LED 픽셀아트가 나오는 감각적인 슬링백
#야간에 나의 안전을 지켜주는 꼭 필요한 슬링백
#완성도 끝판왕의 견고한 여행용 슬링백
#구성진 수납공간과 힙한 디자인을 가진 슬링백",2021.04.05-2021.05.03,"1,500,000원"
135,푸드,밀가루 NO! 깔끔하고 쫄깃한 더 건강한 쌀면과 시원한 재미네 열무국수,(주)버뮤다컴퍼니,1657%,"8,286,000원",14일 남음,226,81,올여름 준비!! 더 건강한 쌀면과 재미네 열무국수로 끝내 보시는건 어떨까요? 시원하고 쫄깃한 면발로 여름 무더위 끊어 내세요.,2021.04.22-2021.05.12,"500,000원"
136,패션·잡화,[5점 만점! 앵콜] 접이식 가방이 이렇게 편할줄이야 500ml물병도 쏙,이스터에그 / 마테마틱,689%,"3,446,700원",12일 남음,87,51,"내장된 주머니에 접어 넣을 수 있어 휴대가 간편하며, 긴 텀블러와 작은 동전의 수납을 위한 콤팩트한 포켓까지 구성해 더욱 실용적인 [라플라스 패커블 크로스백] 을 만나보세요!",2021.04.26-2021.05.10,"500,000원"
137,여행·레저,"[10초내 조립완성] 단 950g! 덴마크에서 온 캠핑의자, 캠스터!",주식회사 바인터네셔널,539%,"16,171,400원",41일 남음,115,51,"글로벌 9억! 싯팩이 캠핑의자로 돌아왔다! 덴마크에서 온, 캠스터(Campster)",2021.04.26-2021.06.08,"3,000,000원"
138,홈리빙,<아마존의 선택> 우리 집이 고기 맛집! 유피트 IH 인덕션 고기불판,(주)유피트코리아,529%,"2,647,800원",13일 남음,115,42,"100% 국내생산! ""마이야르 불판"" 유피트 IH 인덕션 겸용 고기불판이 아마존을 정복하고 돌아와 새로워졌습니다. 코로나를 피해 집에서도 육즙이 가득한 맛있는 고기를 즐겨보세요.",2021.04.26-2021.05.11,"500,000원"
139,패션·잡화,"수납, 그 이상의 실용성! 앞뒤로 사용가능한 돌리는 백팩, 턴키팩!",Kyi D&D,70%,"2,104,000원",26일 남음,36,18,"가방을 안 벗고 소지품을 꺼낼 수 있는 백팩이 있다고? 
소개합니다! 앞뒤로 돌려 사용 가능한 세상에 없던 턴키팩!",2021.04.27-2021.05.24,"3,000,000원"
140,디자인소품,바다 플라스틱 쓰레기를 품은 오브제 & 포스터,이티씨 블랭크,1526%,"7,633,000원",27일 남음,209,185,"부산 해안가의 버려진 플라스틱 쓰레기를 수집한 후, 해안 쓰레기의 다양한 형태와 색감을 그대로 담은 오브제와 아카이빙 포스터입니다.",2021.04.23-2021.05.25,"500,000원"
141,패션·잡화,4차 펀딩 앵콜! 핏좋은 슬랙스를 2장에 2만원대로,이퀄스킨,1154%,"5,770,600원",12일 남음,194,111,1+1이벤트 2장에 2만원대 밴딩 슬랙스,2021.04.22-2021.05.10,"500,000원"
142,푸드,(앵콜)975% 다쿠아즈 어디까지 먹어봤니? 16가지 다쿠아즈,데쎄르룸,925%,"4,628,000원",2일 남음,141,94,다양함을 즐길 수 있는 디저트! 한가지도 맛있지만 16가지는 더 맛있다! 베이킹을 가르치는 선생님에서 여러분들께 맛있고 건강한 디저트를 알려드리는 선생님이 되겠습니다,2021.04.18-2021.04.30,"500,000원"
143,푸드,[2390%앵콜] 한 캔 226원! 쥬스같이 찐한 중독 복숭아가 왔어요 ,(주)에코더블유,906%,"4,534,200원",5일 남음,149,88,"또 왔다, 한 캔 266원! 중독 중에 중독, 한번 마시면 헤어나올 수 없는 찐~한 복숭아. 백도 복숭아 과즙 25%가 함유되어 꿀 같이 달달한 단물이 넘쳐흐르는 복숭아 편이에요.",2021.04.20-2021.05.03,"500,000원"
